id,rate,mean,sdevi,sdevc,exp
2876220,7.14E-06,748406112.4,9242351.97,400187463.5,18399314342
2849637,3.59E-05,743883594.5,10499256.93,223844342.2,18749519707
2856756,5.96E-06,742529398.7,10330967.9,256470054,18268786049
2868540,8.58E-06,739754806.2,10449738.75,254324935.7,18260778883
2875969,3.21E-06,724077585.7,10332510.4,256033460,18182907408
2877166,4.42E-07,718658018.8,10599596.73,230166823.6,18280101858
2853182,3.65E-05,717798266.8,10129638,253234981.8,18376414630
2877902,5.61E-08,717436946.4,10221692.89,252311547.4,18248474254
2853795,1.77E-05,716283139.6,10476196.18,247128338.9,18261993711
2858515,1.15E-05,714139671.7,10394320.16,254071347.7,18114675752
2850714,1.16E-06,711476465.8,10538498.8,228054271.1,18595130933
2856167,5.18E-05,708619735.9,9969382.84,246057823.4,18477564185
2853661,1.41E-05,706552307.1,11106036.13,220174469.8,16507898555
2857929,4.30E-06,705020135.1,9896665.34,244736420.5,18494376449
2857748,4.22E-07,697528547.2,10336548,209835661.7,18745628936
2858766,3.10E-05,689880821.5,9802936.26,237778236.3,18492718381
2857862,7.13E-05,670906040.3,10367132.42,223859897.6,18930572902
2852299,2.91E-06,661595201.9,9636748.34,236319466.5,18354069260
2867543,4.69E-06,657964458.4,9809189.43,236590616.7,18293401584
2854200,2.43E-07,653985296.3,9647310.3,228240121.8,18648681570
2858813,4.50E-06,646457944.9,9450526.66,232182387.6,18350511891
2873707,4.13E-07,644507989.2,10148302.91,197290219.2,18176390266
2872594,6.50E-06,643362436.1,9302756.62,230469265.4,18435223278
2869323,1.77E-06,641737239.5,9600828.53,227735790.4,18797513469
2876740,3.87E-07,635253308.1,9494308.29,236252960.4,18390384080
2862435,3.46E-06,632737738.3,9435750.1,236618256,18388431842
2868300,2.18E-06,630785312,9369682.48,218183858.4,18634142995
2858314,8.00E-08,623832606.9,9546188.62,224437294.9,18248566437
2866241,4.00E-05,618100610.7,9329000.22,217166065.6,18800469827
2850211,5.49E-06,616341428.3,9308659.52,227552845.4,18598937859
2857566,4.70E-05,615576925,9203669.08,229721949.5,18562918628
2855707,7.60E-06,614139564.6,9714687.21,222224431.8,18100609048
2857920,7.74E-06,612063961.4,9218809.28,313887279.6,18662168802
2861861,2.01E-06,610470344.9,8939608.41,213090896.2,19678969470
2873736,3.97E-05,607897306.4,9088713.08,226421772.2,18548591502
2852634,2.34E-06,606490604.6,9589240.85,159078754.2,19917648551
2860513,5.33E-05,605580459.9,9802465.54,213169790.4,17531616413
2860249,3.30E-05,602617104.4,9307458.07,156291736.4,19968001845
2877377,5.93E-06,600572918.7,9039644.55,226597282.9,18375939630
2852049,2.94E-06,597669975.9,9193648.77,223381583.7,18820580461
2862795,1.31E-07,590870610.6,8909647.67,212958039.9,18322533014
2855329,3.34E-06,581395002.7,8095301.35,346727846.7,18391811415
2876794,1.35E-05,580368930.7,8836362.67,216840744.8,19007816415
2856321,2.62E-05,576214184.4,9081516.61,215720495,18903143539
2872702,7.68E-07,576091912.7,8850677.53,214210908.3,18609944781
